1,1,895,1059,153,305,0.9006,-1,-1,-1
1,2,548,1085,145,361,0.8860,-1,-1,-1
1,3,1508,859,140,284,0.8705,-1,-1,-1
1,4,2037,1001,160,357,0.8568,-1,-1,-1
1,5,1679,872,189,269,0.8244,-1,-1,-1
1,6,1455,992,169,265,0.7694,-1,-1,-1
1,7,2599,972,135,131,0.7685,-1,-1,-1
1,8,1433,857,115,347,0.6947,-1,-1,-1
1,9,1856,782,110,314,0.6654,-1,-1,-1
1,10,2096,997,132,329,0.6429,-1,-1,-1
1,11,2099,998,114,324,0.6388,-1,-1,-1
1,12,1358,938,141,276,0.6193,-1,-1,-1
1,13,1414,855,136,352,0.5857,-1,-1,-1
1,14,1443,856,107,347,0.5432,-1,-1,-1
1,15,2147,814,189,185,0.5055,-1,-1,-1
2,1,895,1059,153,305,0.9006,-1,-1,-1
2,2,548,1085,145,361,0.8859,-1,-1,-1
2,3,1508,859,140,284,0.8706,-1,-1,-1
2,4,2036,1001,161,357,0.8573,-1,-1,-1
2,5,1680,872,187,268,0.8242,-1,-1,-1
2,7,2599,972,135,131,0.7732,-1,-1,-1
2,6,1455,992,169,265,0.7609,-1,-1,-1
2,8,1434,856,113,347,0.6820,-1,-1,-1
2,9,1856,782,110,315,0.6657,-1,-1,-1
2,11,2099,998,114,324,0.6415,-1,-1,-1
2,10,2095,997,133,329,0.6363,-1,-1,-1
2,12,1358,938,139,275,0.6152,-1,-1,-1
2,13,1416,855,133,351,0.5782,-1,-1,-1
2,15,2147,813,189,186,0.4917,-1,-1,-1
2,14,1443,857,108,361,0.4200,-1,-1,-1
3,1,895,1059,153,305,0.9005,-1,-1,-1
3,2,548,1085,145,361,0.8882,-1,-1,-1
3,3,1507,859,141,284,0.8702,-1,-1,-1
3,4,2036,1001,161,357,0.8559,-1,-1,-1
3,5,1679,872,188,269,0.8252,-1,-1,-1
3,6,1455,992,169,265,0.7736,-1,-1,-1
3,7,2599,972,135,131,0.7601,-1,-1,-1
3,8,1432,856,115,347,0.6870,-1,-1,-1
3,9,1856,783,110,314,0.6453,-1,-1,-1
3,11,2099,998,115,324,0.6393,-1,-1,-1
3,10,2096,997,132,329,0.6316,-1,-1,-1
3,12,1358,938,140,274,0.6241,-1,-1,-1
3,13,1412,855,137,351,0.5871,-1,-1,-1
3,16,1359,938,153,279,0.5543,-1,-1,-1
3,15,2147,814,189,185,0.5102,-1,-1,-1
3,14,1442,856,108,347,0.5029,-1,-1,-1
4,1,895,1059,153,305,0.9002,-1,-1,-1
4,2,548,1085,145,361,0.8928,-1,-1,-1
4,3,1508,859,140,284,0.8715,-1,-1,-1
4,4,2036,1001,161,357,0.8561,-1,-1,-1
4,5,1680,872,187,268,0.8231,-1,-1,-1
4,7,2599,972,135,131,0.7682,-1,-1,-1
4,6,1455,992,169,266,0.7561,-1,-1,-1
4,8,1429,856,117,346,0.6794,-1,-1,-1
4,11,2099,998,115,324,0.6394,-1,-1,-1
4,10,2096,997,132,329,0.6266,-1,-1,-1
4,12,1358,938,140,273,0.6209,-1,-1,-1
4,9,1856,782,111,313,0.5931,-1,-1,-1
4,13,1408,855,140,350,0.5792,-1,-1,-1
4,16,1359,938,152,279,0.5389,-1,-1,-1
4,15,2147,811,189,188,0.5197,-1,-1,-1
4,14,1442,856,107,346,0.4735,-1,-1,-1
5,1,895,1059,153,305,0.8998,-1,-1,-1
5,2,548,1085,145,361,0.8938,-1,-1,-1
5,3,1508,859,140,284,0.8698,-1,-1,-1
5,4,2036,1001,161,357,0.8550,-1,-1,-1
5,5,1681,872,187,268,0.8243,-1,-1,-1
5,7,2599,972,136,131,0.7642,-1,-1,-1
5,6,1455,991,169,267,0.7570,-1,-1,-1
5,8,1430,856,116,347,0.6791,-1,-1,-1
5,9,1856,782,111,315,0.6548,-1,-1,-1
5,11,2100,998,114,323,0.6322,-1,-1,-1
5,12,1358,938,142,275,0.6318,-1,-1,-1
5,10,2096,997,132,328,0.6260,-1,-1,-1
5,13,1411,855,137,350,0.5793,-1,-1,-1
5,15,2147,811,189,188,0.5544,-1,-1,-1
5,14,1442,856,107,346,0.4911,-1,-1,-1
5,17,1437,856,111,362,0.4298,-1,-1,-1
6,1,895,1059,153,305,0.8999,-1,-1,-1
6,2,548,1085,145,361,0.8946,-1,-1,-1
6,3,1509,859,139,284,0.8716,-1,-1,-1
6,4,2037,1001,160,356,0.8546,-1,-1,-1
6,5,1682,872,186,268,0.8282,-1,-1,-1
6,6,1455,991,169,267,0.7788,-1,-1,-1
6,7,2599,972,136,131,0.7708,-1,-1,-1
6,9,1856,782,110,314,0.7160,-1,-1,-1
6,8,1430,856,115,347,0.6723,-1,-1,-1
6,12,1358,938,143,274,0.6360,-1,-1,-1
6,11,2099,998,115,322,0.6325,-1,-1,-1
6,10,2096,997,132,328,0.6233,-1,-1,-1
6,13,1411,855,137,351,0.5730,-1,-1,-1
6,15,2147,810,189,189,0.4959,-1,-1,-1
6,14,1442,856,107,347,0.4332,-1,-1,-1
6,17,1436,856,111,363,0.4221,-1,-1,-1
7,1,896,1059,152,305,0.8998,-1,-1,-1
7,2,548,1085,145,361,0.8935,-1,-1,-1
7,3,1510,859,138,284,0.8684,-1,-1,-1
7,4,2036,1001,161,356,0.8548,-1,-1,-1
7,5,1682,872,187,268,0.8276,-1,-1,-1
7,6,1455,991,169,266,0.7848,-1,-1,-1
7,7,2599,972,136,131,0.7735,-1,-1,-1
7,9,1856,783,110,313,0.7167,-1,-1,-1
7,8,1430,856,116,347,0.6813,-1,-1,-1
